word,gloss,alternate_words
#all,,
#hs,,
#no,,
(movie/tv) credits,,
(un)likely,"not likely to be true or to occur or to have occurred; ""legislation on the question is highly unlikely""; ""an improbable event""","improbable, unlikely"
0,a mathematical element that when added to another number yields the same number,"0, cipher, cypher, nought, zero"
1,"the smallest whole number or a numeral representing this number; ""he has the one but will need a two and three to go with it""; ""they had lunch at one""","1, ace, one, single"
1 hour,,
1 million,,
1 minute,,
1 o'clock,,
1-10,being ten more than one hundred,"110, cx, one_hundred_ten"
10,being one more than nine,"10, ten"
100,being ten more than ninety,"100, a_hundred, hundred, one_hundred"
1000,"denoting a quantity consisting of 1,000 items or units","1000, a_thousand, one_thousand, thousand"
100baset,,
10baset,,
11,being one more than ten,"11, eleven"
11 o'clock,,
11-20,,
1100,,
1122,,
1130,,
12,denoting a quantity consisting of 12 items or units,"12, dozen, twelve"
13,being one more than twelve,"13, thirteen"
1330,,
14,being one more than thirteen,"14, fourteen"
15,being one more than fourteen,"15, fifteen"
16,being one more than fifteen,"16, sixteen"
17,being one more than sixteen,"17, seventeen"
18,being one more than seventeen,"18, eighteen"
19,being one more than eighteen,"19, nineteen"
2,"being one more than one; ""he received two messages""","2, two"
2 hours,,
2 million,,
2 o'clock,,
20,denoting a quantity consisting of 20 items or units,"20, twenty"
200,being ten more than one hundred ninety,"200, two_hundred"
2000,,
2001,,
2002,,
201965458,meet at a point,"cross, intersect"
21,being one more than twenty,"21, twenty-one"
22,the cardinal number that is the sum of twenty-one and one,"22, twenty-two"
23,being three more than twenty,"23, twenty-three"
24,being four more than twenty,"24, twenty-four"
25,being five more than twenty,"25, twenty-five"
26,being six more than twenty,"26, twenty-six"
27,being seven more than twenty,"27, twenty-seven"
28,the cardinal number that is the sum of twenty-seven and one,"28, twenty-eight"
29,being nine more than twenty,"29, twenty-nine"
3,being one more than two,"3, three"
3 hours,,
3 million,,
3 minutes,,
3 o'clock,,
30,being ten more than twenty,"30, thirty"
300,being one hundred more than two hundred,"300, three_hundred"
3000,,
31,being one more than thirty,"31, thirty-one"
32,being two more than thirty,"32, thirty-two"
33,being three more than thirty,"33, thirty-three"
34,being four more than thirty,"34, thirty-four"
35,being five more than thirty,"35, thirty-five"
36,being six more than thirty,"36, thirty-six"
37,being severn more than thirty,"37, thirty-seven"
38,being eight more than thirty,"38, thirty-eight"
39,being nine more than thirty,"39, thirty-nine"
3g,,
4,being one more than three,"4, four"
4 hours,,
4 million,,
4 minutes,,
4 o'clock,,
40,being ten more than thirty,"40, forty, twoscore"
400,being one hundred more than three hundred,"400, cd, four_hundred"
4000,,
41,being one more than forty,"41, forty-one"
42,being two more than forty,"42, forty-two"
43,being three more than forty,"43, forty-three"
44,being four more than forty,"44, forty-four"
45,being five more than forty,"45, forty-five"
46,being six more than forty,"46, forty-six"
47,being seven more than forty,"47, forty-seven"
48,being eight more than forty,"48, forty-eight"
49,being nine more than forty,"49, forty-nine"
4g,the fourth generation of mobile telecommunications technology,4g
5,being one more than four,"5, five"
5 hours,,
5 million,,
5 minutes,,
5 o'clock,,
50,being ten more than forty,"50, fifty"
500,denoting a quantity consisting of 500 items or units,"500, five_hundred"
5000,,
51,being one more than fifty,"51, fifty-one"
52,being two more than fifty,"52, fifty-two"
53,being three more than fifty,"53, fifty-three"
54,being four more than fifty,"54, fifty-four"
55,being five more than fifty,"55, fifty-five"
56,being six more than fifty,"56, fifty-six"
57,being seven more than fifty,"57, fifty-seven"
58,being eight more than fifty,"58, fifty-eight"
59,being nine more than fifty,"59, fifty-nine"
6,denoting a quantity consisting of six items or units,"6, half_a_dozen, half_dozen, six"
6 hours,,
6 o'clock,,
60,being ten more than fifty,"60, sixty, threescore"
600,,
61,being one more than sixty,"61, sixty-one"
62,being two more than sixty,"62, sixty-two"
63,being three more than sixty,"63, sixty-three"
64,being four more than sixty,"64, sixty-four"
65,being five more than sixty,"65, sixty-five"
66,being six more than sixty,"66, sixty-six"
67,being seven more than sixty,"67, sixty-seven"
68,being eight more than sixty,"68, sixty-eight"
69,being nine more than sixty,"69, sixty-nine"
7,being one more than six,"7, seven"
7 hours,,
70,being ten more than sixty,"70, seventy"
700,,
71,being one more than seventy,"71, seventy-one"
72,being two more than seventy,"72, seventy-two"
73,being three more than seventy,"73, seventy-three"
74,being four more than seventy,"74, seventy-four"
75,being five more than seventy,"75, seventy-five"
76,being six more than seventy,"76, seventy-six"
77,being seven more than seventy,"77, seventy-seven"
78,being eight more than seventy,"78, seventy-eight"
79,being nine more than seventy,"79, seventy-nine"
8,being one more than seven,"8, eight"
8 o'clock,,
80,being ten more than seventy,"80, eighty, fourscore"
800,,
8000,,
81,being one more than eighty,"81, eighty-one"
82,being two more than eighty,"82, eighty-two"
83,being three more than eighty,"83, eighty-three"
84,being four more than eighty,"84, eighty-four"
85,being five more than eighty,"85, eighty-five"
86,being six more than eighty,"86, eighty-six"
87,being seven more than eighty,"87, eighty-seven"
88,being eight more than eighty,"88, eighty-eight"
89,being nine more than eighty,"89, eighty-nine"
9,denoting a quantity consisting of one more than eight and one less than ten,"9, nine"
9 hours,,
9 minutes,,
9 o'clock,,
90,being ten more than eighty,"90, ninety"
900,,
91,being one more than ninety,"91, ninety-one"
92,being two more than ninety,"92, ninety-two"
93,being three more than ninety,"93, ninety-three"
94,being four more than ninety,"94, ninety-four"
95,being five more than ninety,"95, ninety-five"
96,being six more than ninety,"96, ninety-six"
97,being seven more than ninety,"97, ninety-seven"
98,being eight more than ninety,"98, ninety-eight"
99,being nine more than ninety,"99, ninety-nine"
a,the 1st letter of the Roman alphabet,A
a bird sits on a tree,,
a bit much,,
a broken heart and a contrite spirit,,
a building settling down,"settle into a position, usually on a surface or ground; ""dust settled on the roofs""","settle, settle_down"
a bunch,,
a buy,,
a d,a public promotion of some product or service,"ad, advert, advertisement, advertising, advertizement, advertizing"
a day,,
a few,"an indefinite but relatively small number; ""they bought a case of beer and drank a few""","few, some"
a fish out of water,,
a fresh pair of eyes,,
a group going to somewhere,,
a huge discount,,
a la carte,a menu having individual dishes listed with separate prices,a_la_carte
a little bird told me,,
a little bit,,
a long time,,
a long time ago,,
a lot,"to a very great degree or extent; ""we enjoyed ourselves very much""; ""she was very much interested""; ""this would help a great deal""","a_good_deal, a_great_deal, a_lot, much, very_much"
a lot of people are joining me,,
a lot of people getting my attention,,
a lot of people leaving,,
a lot of people transfer in,,
a lot of planning,,
a lot of text on page,,
a mess,,
a penny for your thoughts,,
a penny saved is a penny earned,,
a picture is worth a thousand words,,
a posterior knowledge,,
a pretty penny,,
a priori knowledge,,
a rolling stone gathers no moss,,
a running animal,,
a textbook case,,
a thousand,"denoting a quantity consisting of 1,000 items or units","1000, a_thousand, one_thousand, thousand"
a to b,,
a watched pot never boils,,
a week ago,,
a while,"for a short time; ""sit down and stay awhile""; ""they settled awhile in Virginia before moving West""; ""the baby was quiet for a while""","awhile, for_a_while"
a year ago,,
a-list,"a list of names of specially favored people; ""the boss gave me his A-list of people we should try to recruit""",A-list
a-ok,,
a-ok,in perfect condition or order,"a-ok, a-okay"
a.m.,before noon,"a.m., ante_meridiem"
a.m.,"before noon; ""let''s meet at 11 A.M.""","A.M., am, ante_meridiem"
a.w.s. (american welding society),,
a/c,a system that keeps air cool and dry,"ac, air_conditioner, air_conditioning"
a/c compressor,,
a1,,
aa,a dry form of lava resembling clinkers,aa
aaaachoo,,
aaah,,
